127.0.0.1 - - [24/Jun/2022:13:44:50 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [24/Jun/2022:13:45:07 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [24/Jun/2022:13:45:08 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [24/Jun/2022:13:45:22 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [24/Jun/2022:13:48:26 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [24/Jun/2022:13:48:48 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:13:48:48 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3311
0:0:0:0:0:0:0:1 - - [24/Jun/2022:13:48:55 +0530] "GET /ORS_Project4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7688
0:0:0:0:0:0:0:1 - - [24/Jun/2022:13:56:44 +0530] "GET /ORS_Project4/ctl/GetMarksheetCtl HTTP/1.1" 200 4299
0:0:0:0:0:0:0:1 - - [24/Jun/2022:13:56:55 +0530] "POST /ORS_Project4/ctl/GetMarksheetCtl HTTP/1.1" 200 4344
0:0:0:0:0:0:0:1 - - [24/Jun/2022:13:57:05 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13742
0:0:0:0:0:0:0:1 - - [24/Jun/2022:13:57:05 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:13:57:05 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [24/Jun/2022:13:57:18 +0530] "GET /ORS_Project4/ctl/GetMarksheetCtl HTTP/1.1" 200 4299
0:0:0:0:0:0:0:1 - - [24/Jun/2022:13:57:23 +0530] "POST /ORS_Project4/ctl/GetMarksheetCtl HTTP/1.1" 200 6455
0:0:0:0:0:0:0:1 - - [24/Jun/2022:13:58:28 +0530] "POST /ORS_Project4/ctl/GetMarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:13:58:28 +0530] "GET /ORS_Project4/ctl/GetMarksheetCtl HTTP/1.1" 200 4299
0:0:0:0:0:0:0:1 - - [24/Jun/2022:14:05:05 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 9879
0:0:0:0:0:0:0:1 - - [24/Jun/2022:14:05:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Jun/2022:14:05:11 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 9905
0:0:0:0:0:0:0:1 - - [24/Jun/2022:14:05:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Jun/2022:14:05:24 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 7553
0:0:0:0:0:0:0:1 - - [24/Jun/2022:14:05:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Jun/2022:14:05:58 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 9879
